key,scope,id_attribute,title_attribute,resource_uri,ordinal,comment,description,title,visibility,alias,is_restricted,api_name
resource,resource,[key],[title],/reports/api/v1/resource/resource/,0,,"Resource describes tables, queries that are available through the API",Resources,"[list,detail]",,,reports
metahash,resource,"[scope,key]","[scope,/,title]",/reports/api/v1/resource/metahash/,0,,"Metahash describes all the fields in the tables","Field Information","[list,detail]",,,reports
vocabularies,resource,"[scope,key]","[scope,/,title]",/reports/api/v1/resource/vocabularies/,0,,"Vocabularies describe controlled vocabularies",Vocabularies,"[list,detail]",,,reports
screensaveruser,resource,[screensaver_user_id],"[first_name, ,last_name]",/reports/api/v1/resource/screensaveruser/,0,,"The Screensaver user resource","Screensaver User","[list,detail]",,,db
screen,resource,[facility_id],"[facility_id, . ,title]",/reports/api/v1/resource/screen/,0,,"The Screen resources",Screen,"[list,detail]",,,db
screenresult,resource,[facility_id],[facility_id],/reports/api/v1/resource/screenresult/,0,,"The Screen result resource","Screen Result","[list,detail]",,,db
screensummary,resource,[facility_id],[facility_id],/reports/api/v1/resource/screensummary/,0,,"The Screening Summary resource","Screen Summary","[list,detail]",,,db
apilog,resource,"[ref_resource_name,date_time]","[ref_resource_name,. ,key, @,date_time]",/reports/api/v1/resource/apilog/,0,,"The Change log resource","Change log","[list,detail]",,,reports
datacolumn,resource,[data_column_id],[name],/reports/api/v1/resource/datacolumn/,0,,"The Screen Result Datacolumn resource","Data Column","[list,detail]",,,db
library,resource,[short_name],[short_name],/reports/api/v1/resource/library/,0,,"The reagent library resource",Library,"[list,detail]",,,db
user,resource,[screensaver_user_id],"[first_name, ,last_name]",/reports/api/v1/resource/user/,0,,"The admin user view",User,"[list,detail]",,,reports
usergroup,resource,[name],[name],/reports/api/v1/resource/usergroup/,0,,"The Django group",Group,"[list,detail]",,,reports
permission,resource,"[scope,key,type]","[scope,key,type]",/reports/api/v1/resource/permission/,0,,"The Django permission",Permission,"[list,detail]",,,reports
librarycopy,resource,"[library_short_name,name]","[library_short_name,name]",/reports/api/v1/resource/librarycopy/,0,,"The Library Copy","Library Copy","[list,detail]",,,db
